CID,SMILES
204932,CCC(CC1=CC(=C(C(=C1)OC)OC)OC)N
44719469,COC1=CC(=CC(=C1OCC=C)OC)CCN
143828,CC(CC1=CC(=C(C=C1OC)SC)OC)N
10264356,CCSC1=C(C=C(C(=C1)OC)CC(C)N)OC
44350301,CC(C)SC1=C(C=C(C(=C1)OC)CC(C)N)OC
44719475,CC(CC1=CC(=C(C=C1OC)SC2=CC=CC=C2)OC)N
11197521,CCCSC1=C(C=C(C(=C1)OC)CC(C)N)OC
169886,CCC(CC1=C(C=C(C(=C1)OC)C)OC)N
45367,CCOC1=CC(=CC(=C1OCC)OC)CCN
15102780,CCCCOC1=C(C=C(C=C1OC)CCN)OC
212480,CC1=CC(=C(C=C1OC)CC(C)NC)OC
15915353,CC1=CC(=C(C=C1SC)CC(C)N)SC
15185771,COC1=CC(=C(C=C1C(CN)OC)OC)Br
44719486,CC1=CC(=C(C=C1OC)C(CN)OC)OC
44719487,COC(CN)C1=CC2=C(C=C1)OCO2
44719489,CC1=CC(=C(C=C1OC)C(CN)O)OC
44719490,COC1=CC(=CC(=C1OC)OC)C(CN)OC
208044,CC(CC1=CC(=C(C(=C1)OC)Br)OC)N
44719492,CC(CC1=CC2=C(C=C1Br)OCO2)N
98527,COC1=CC(=C(C=C1CCN)OC)Br
44350160,CC(CC1=CC(=C(C(=C1)OC)OCC2=CC=CC=C2)OC)N
29979100,COC1=CC(=C(C=C1CCN)OC)Cl
135740,CC1=CC(=C(C=C1OC)CCN)OC
24729233,CCC1=CC(=C(C=C1OC)CCN)OC
44350137,CCOC1=C(C=C(C=C1OC)CC(C)N)OC
44719499,COC1=CC(=C(C=C1CCN)OC)F
22238091,CC1=C(C=C(C(=C1C)OC)CCN)OC
44350123,COC1=C2CCCC2=C(C(=C1)CCN)OC
44719505,COC1=C2CCCCC2=C(C(=C1)CCN)OC
163203542,COC1=C2[C@@H]3CC[C@@H](C3)C2=C(C(=C1)CCN)OC
21796713,COC1=CC(=C(C2=CC=CC=C21)OC)CCN
76632,COC1=CC(=C(C=C1)OC)CCN
10267191,COC1=CC(=C(C=C1CCN)OC)I
10036637,COC1=CC(=C(C=C1CCN)OC)[N+](=O)[O-]
44719510,CC(C)OC1=C(C=C(C(=C1)OC)CCN)OC
44350080,CCCC1=CC(=C(C=C1OC)CCN)OC
44350143,COC1=CC(=CC(=C1OCC2CC2)OC)CCN
44719515,COC1=CC(=C(C=C1CCN)OC)[Se]C
12315927,COC1=CC(=C(C=C1CCN)OC)SC
12074193,CCSC1=C(C=C(C(=C1)OC)CCN)OC
44350070,CC(C)SC1=C(C=C(C(=C1)OC)CCN)OC
44350070,CC(C)SC1=C(C=C(C(=C1)OC)CCN)OC
24728635,CCCSC1=C(C=C(C(=C1)OC)CCN)OC
44350055,COC1=CC(=C(C=C1CCN)OC)SCC2CC2
12063257,CCCCSC1=C(C=C(C(=C1)OC)CCN)OC
44350108,COCCSC1=C(C=C(C(=C1)OC)CCN)OC
44719534,COC1=CC(=C(C=C1CCN)OC)SC2CC2
44349798,CCC(C)SC1=C(C=C(C(=C1)OC)CCN)OC
44349972,COC1=CC(=C(C=C1CCN)OC)SCCF
44719545,[2H]C([2H])([2H])OC1=C(C=C(C=C1OC)CCN)OC
44719547,[2H]C([2H])(CN)C1=CC(=C(C(=C1)OC)OC)OC
44350128,CC1=C(C=C(C=C1OC)CCN)OC
141047,CC(CC1=C(C=C(C=C1)OC)OC)N
62787,CC(CC1=C(C=CC(=C1)OC)OC)N
8423,CC(CC1=CC(=C(C=C1)OC)OC)N
3017965,CC1=CC(=C(C=C1OC)C2CC2N)OC
3863978,COC1=C(C=C(C=C1)C(CN)O)OC
44349928,CC(CC1=CC(=C2C(=C1OC)OCO2)OC)N
16766527,CC(CC1=CC2=C(C(=C1OC)OC)OCO2)N
8421,COC1=C(C=C(C=C1)CCN)OC
12262512,CCCCCC1=CC(=C(C=C1OC)CC(C)N)OC
62065,CC(CC1=CC(=C(C=C1OC)Br)OC)N
10060720,CCCCC1=CC(=C(C=C1OC)CC(C)N)OC
542036,CC(CC1=CC(=C(C=C1OC)Cl)OC)N
14201982,CC(CC1=C(C=C(C(=C1)OC)CCF)OC)N
27402,CCC1=CC(=C(C=C1OC)CC(C)N)OC
1229,CC(CC1=CC(=C(C=C1OC)I)OC)N
11735949,CC1=CC(=C(C=C1OC)C[C@@H](C)N)OC
69397301,CC1=CC(=C(C(=C1)OC)C[C@@H](C)N)OC
105432,CC(CC1=CC(=C(C=C1OC)[N+](=O)[O-])OC)N
542051,CCCC1=CC(=C(C=C1OC)CC(C)N)OC
38240,CCOC1=C(C=C(C=C1OC)CCN)OC
44719557,CCOC1=CC(=C(C=C1CC(C)N)OCC)OCC
44719558,CCOC1=CC(=C(C=C1CC(C)N)OC)OCC
44719562,CCOC1=CC(=C(C=C1CC(C)N)OCC)OC
44719565,CCOC1=CC(=C(C=C1CC(C)N)OC)OC
10214504,CCC(CC1=CC2=C(C=C1)OCO2)NCC
44719567,CCCC(CC1=CC2=C(C=C1)OCO2)NCC
13056773,CC1CC2=CC(=C(C=C2O1)CC(C)N)OC
16051705,CC(CC1=C(C=C2CC(OC2=C1)(C)C)OC)N
44350092,CC(CC1=CC2=C(C=C1)OCO2)N(C)O
44350047,CC(CC1=CC(=C2CCCC2=C1OC)OC)N
57465383,CC(CC1=CC(=C2CCCCC2=C1OC)OC)N
44719573,CC(CC1=CC(=C2C3CCC(C3)C2=C1OC)OC)N
44350044,CC1=C(C=C(C(=C1C)OC)CC(C)N)OC
9925746,CC(CC1=C(C2=CC=CC=C2C(=C1)OC)OC)N
44350142,CCSC1=C(C=C(C(=C1)OC)CCNO)OC
44350017,CCCSC1=C(C=C(C(=C1)OC)CCNO)OC
44350007,CCC(C)SC1=C(C=C(C(=C1)OC)CCNO)OC
135056,CC(CC1=CC(=C(C=C1OC)I)OC)N(C)C
414332,COC1=C(C(=C(C=C1)CCN)OC)OC
15102787,CC(C)OC1=C(C=C(C=C1OC)CCN)OC
44719575,CCOC1=CC(=C(C=C1C)OC)CC(C)N
129870,CCC(CC1=CC2=C(C=C1)OCO2)N
90239,COC1=CC(=CC2=C1OCO2)CCN
4076,COC1=CC(=CC(=C1OC)OC)CCN
31721,CC(CC1=CC=C(C=C1)OC)N
44719578,CC1=CC2=C(C=C1CC(C)NC)OCO2
44350127,CC(=C)COC1=C(C=C(C=C1OC)CCN)OC
1614,CC(CC1=CC2=C(C=C1)OCO2)N
44719581,CC(CC1=CC2=C(C=C1)OCO2)NCC=C
16206440,CCCCNC(C)CC1=CC2=C(C=C1)OCO2
20507314,CC(CC1=CC2=C(C=C1)OCO2)NCC3=CC=CC=C3
71308239,CC(CC1=CC2C(C=C1)OCO2)NCC3CC3
551630,CC(CC1=CC2=C(C=C1)OCO2)N(C)C
105039,CCNC(C)CC1=CC2=C(C=C1)OCO2
21645837,CC(CC1=CC2=C(C=C1)OCO2)NCCO
3057996,CC(C)NC(C)CC1=CC2=C(C=C1)OCO2
1615,CC(CC1=CC2=C(C=C1)OCO2)NC
24257269,CC(CC1=CC2=C(C=C1)OCCO2)NC
44719583,CC(CC1=CC2=C(C=C1)OCO2)NOC
44719584,CC(CC1=CC2=C(C=C1)OCO2)NCCOC
44366836,CC(C)(CC1=CC2=C(C=C1)OCO2)NC
98528,CC(CC1=CC2=C(C=C1)OCO2)NO
73874,C1OC2=C(O1)C=C(C=C2)CCN
13020598,CC(C)(CC1=CC2=C(C=C1)OCO2)N
44719587,CC(CC1=CC2=C(C=C1)OCO2)NCC#C
559375,CCCNC(C)CC1=CC2=C(C=C1)OCO2
44350068,CCOC1=CC(=CC(=C1OC)OC)CCN
25798,CN(C)CCS.Cl
44719591,CCOC1=C(C=C(C(=C1)CC(C)N)OC)OCC
542053,CCOC1=C(C=C(C(=C1)OC)CC(C)N)OC
142076,CCOC1=C(C=C(C=C1)CCN)OC
143750,CC(CC1=CC(=C(C=C1OC)OC)Br)N
144891,CC(CC1=CC(=C(C=C1OC)OC)SC)N
3048401,CC(CC1=C(C=CC(=C1)OC)OC)NC
10085486,CC(CC1=CC(=C(C=C1OC)Br)OC)NC
124844,CCC(CC1=CC2=C(C=C1)OCO2)NC
17757316,CCCC(CC1=CC2=C(C=C1)OCO2)NC
90766,CC(CC1=CC=C(C=C1)OC)NC
44719597,CC(CC1=CC2=C(C=C1OC)OCO2)NC
26175,CC(CC1=CC2=C(C(=C1)OC)OCO2)N
90966,CC(CC1=CC2=C(C=C1OC)OCO2)N
90967,CC(CC1=C(C2=C(C=C1)OCO2)OC)N
44374894,CC(CC1=C2C(=C(C=C1)OC)OCO2)N
44719602,CCOC1=C(C=C(C(=C1)CC(C)N)OC)OC
44375097,CCCOC1=CC(=CC(=C1OC)OC)CCN
57417446,CCCOC1=C(C=C(C(=C1)CC(C)N)OC)OC
144890,CC(CC1=CC(=C(C=C1SC)OC)OC)N
15102790,CCCOC1=C(C=C(C=C1OC)CCN)OC
44567543,COC1=CC(=CC(=C1OCCC2=CC=CC=C2)OC)CCN
1001,C1=CC=C(C=C1)CCN
44719613,COC1=CC(=CC(=C1OCC#C)OC)CCN
44374890,CCOC1=CC(=CC(=C1OC)OCC)CCN
44350147,CC(CC1=CC(=C(C(=C1OC)OC)OC)OC)N
44349933,CCOC1=C(C=C(C=C1SCC)CCN)OC
44349945,CCOC1=CC(=CC(=C1SCC)OC)CCN
44349932,CCOC1=C(C(=CC(=C1)CCN)SC)OCC
44349865,CCCCSC1=C(C=C(C=C1OC)CCN)OC
44350018,CCOC1=C(C=C(C=C1SC)CCN)OC
44349999,CCSC1=C(C=C(C=C1OC)CCN)OC
20337296,COC1=C(C(=C(C=C1)CCN)SC)OC
44276770,COC1=C(C(=C(C=C1)CCN)OC)SC
44276763,COC1=C(C=CC(=C1OC)SC)CCN
44276881,COC1=C(C(=CC(=C1)CCN)SC)OC
44276771,COC1=CC(=CC(=C1SC)OC)CCN
31016,CC(CC1=CC(=C(C(=C1)OC)OC)OC)N
31014,CC(CC1=CC(=C(C=C1OC)OC)OC)N
31012,CC(CC1=C(C(=C(C=C1)OC)OC)OC)N
602804,CC(CC1=C(C(=CC(=C1)OC)OC)OC)N
31013,CC(CC1=C(C=CC(=C1OC)OC)OC)N
31015,CC(CC1=C(C=C(C=C1OC)OC)OC)N
44350009,CCSC1=CC(=CC(=C1OC)OC)CCN
44350008,CCOC1=CC(=CC(=C1SC)OC)CCN
44374913,CCOC1=C(C(=CC(=C1)CCN)SC)OC
44719661,CC(CC1=C(C2=C(C=C1)OCO2)SC)N
44719663,CC(CC1=CC2=C(C=C1OC)SCO2)N
151954,COC1=CC(=C(C=C1CCN)OC)OC
15915347,CCC1=CC(=C(C=C1OC)CC(C)N)SC
15915351,CCC1=CC(=C(C=C1SC)CC(C)N)OC
15915345,CC1=CC(=C(C=C1OC)CC(C)N)SC
15915349,CC1=CC(=C(C=C1SC)CC(C)N)OC
15915373,CC1=CC(=C(C=C1S(=O)C)CC(C)N)OC.Cl
44349931,CCCSC1=C(C=C(C=C1OC)CCN)OC
44375115,CCOC1=CC(=CC(=C1OCC)OCC)CCN
44374939,CCOC1=C(C(=CC(=C1)CCN)SCC)OC
44375085,CCOC1=CC(=CC(=C1SC)OCC)CCN
44374795,CCOC1=C(C(=CC(=C1)CCN)SCC)OCC
44374794,CCOC1=CC(=CC(=C1SCC)OCC)CCN
15227511,CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)CC=C
27848,CCCCN(CCCC)CCC1=CNC2=CC=CC=C21
6090,CCN(CC)CCC1=CNC2=CC=CC=C21
26903,CC(C)N(CCC1=CNC2=CC=CC=C21)C(C)C
36906,CC(CC1=CNC2=C1C=C(C=C2)OC)N
6089,CN(C)CCC1=CNC2=CC=CC=C21
44719453,CC1=C(C2=CC=CC=C2N1)CC(C)N
3724428,CC(CC1=CNC2=CC=CC=C21)NC
6091,CCCN(CCC)CCC1=CNC2=CC=CC=C21
44719455,CCN(CCC1=CNC2=CC=CC=C21)C(C)C
8367,CCC(CC1=CNC2=CC=CC=C21)N
44457783,CCN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)N(CC)CC
5280951,CC1=C2C(=C3C=CC(=CC3=N2)OC)CCN1
5280953,CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
21854224,CCCCN(CCCC)CCC1=CNC2=C1C(=CC=C2)O
9991554,CCN(CC)CCC1=CNC2=C1C(=CC=C2)O
21854225,CC(C)N(CCC1=CNC2=C1C(=CC=C2)O)C(C)C
4980,CN(C)CCC1=CNC2=C1C(=CC=C2)O
10257,CN(C)CCC1=CNC2=C1C=C(C=C2)O
21854223,CCCN(CCC)CCC1=CNC2=C1C(=CC=C2)O
21786582,CCN(C)CCC1=CNC2=C1C(=CC=C2)O
10082683,CC(C)N(C)CCC1=CNC2=C1C(=CC=C2)O
21786584,CCCN(C)CCC1=CNC2=C1C(=CC=C2)O
21854226,C1CCN(C1)CCC2=CNC3=C2C(=CC=C3)O
197060,CC[C@H]1C[C@@H]2C[C@@H]3[C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC
5761,CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
44719457,CCCCN(C)CCC1=CNC2=CC=CC=C21
44383444,CC(C)N(CCC1=CNC2=C1C3=C(C=C2)OCO3)C(C)C
13141004,CC(C)N(CCC1=CNC2=CC3=C(C=C21)OCO3)C(C)C
44278540,CN(C)CCC1=CNC2=C1C3=C(C=C2)OCO3
13140993,CN(C)CCC1=CNC2=CC3=C(C=C21)OCO3
13140997,CC(C)N(C)CCC1=CNC2=CC3=C(C=C21)OCO3
33561,CCN(CC)CCC1=C(NC2=CC=CC=C21)C
11820174,CC1=C(C2=CC=CC=C2N1)CCN(C)C
896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
417608,CCN(CC)CCC1=CNC2=C1C=C(C=C2)OC
151182,CC(C)N(CCC1=CNC2=C1C=C(C=C2)OC)C(C)C
1832,CN(C)CCC1=CNC2=C1C=C(C=C2)OC
29935317,CC(C)N(C)CCC1=CNC2=C1C(=CC=C2)OC
2763156,CC(C)N(C)CCC1=CNC2=C1C=C(C=C2)OC
44382345,CC(C)N(C)CCC1=CNC2=CC(=C(C=C21)OC)OC
16184,CNCCC1=CNC2=C1C=C(C=C2)OC
17053,COC1=CC2=C(C=C1)NC=C2CCN3CCCC3
71028,CC1C2=C(CCN1)C3=C(N2)C=CC(=C3)OC
49756,CC1=C(C2=C(N1)C=CC(=C2)OC)CCN(C)C
21180,CN(C)CCC1=CNC2=C1C=C(C=C2)SC
29935323,CC(C)N(C)CCC1=CNC2=CC=CC=C21
9287,CC(CC1=CNC2=CC=CC=C21)N
6092,CCNCCC1=CNC2=CC=CC=C21
6088,CNCCC1=CNC2=CC=CC=C21
44457803,CCCN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)N(CC)CC
26393,C1CCN(C1)CCC2=CNC3=CC=CC=C32
1150,C1=CC=C2C(=C1)C(=CN2)CCN
159809,CC1C2=C(CCN1)C3=C(N2)C=C(C=C3)OC
20961,CC(CC1=CNC2=C1C=C(C=C2)OC)NC
